epoch,train_loss,dev_loss,dev_accuracy,dev_precision,dev_recall,dev_f1,dev_roc_auc,dev_eer,learning_rate,epoch_time_seconds,best_checkpoint_saved
1,0.879639,0.700421,0.462,0.949875,0.42252,0.584877,0.699852,0.378641,9.623203685930869e-05,175.41,True
2,0.727745,0.914808,0.375,0.978873,0.309922,0.470787,0.742919,0.300971,8.55017856687341e-05,175.53,True
3,0.661214,0.47801,0.763,0.94837,0.778149,0.854868,0.779697,0.271845,6.944282990207195e-05,175.1,True
4,0.614039,0.598124,0.656,0.975904,0.632107,0.767253,0.823662,0.246377,5.05e-05,175.14,True
5,0.503474,0.519805,0.722,0.978362,0.705686,0.819948,0.85544,0.223301,3.1557170097928055e-05,175.09,True
6,0.488347,0.466018,0.764,0.976912,0.754738,0.851572,0.869165,0.213592,1.54982143312659e-05,175.02,True
7,0.471336,0.377545,0.836,0.966879,0.846154,0.902497,0.89315,0.19398,4.767963140691306e-06,175.22,True
8,0.434559,0.367068,0.847,0.973282,0.852843,0.909091,0.902436,0.174757,1e-06,174.73,True
