epoch,train_loss,dev_loss,dev_accuracy,dev_precision,dev_recall,dev_f1,dev_roc_auc,dev_eer,learning_rate,epoch_time_seconds,best_checkpoint_saved
1,0.883837,1.089924,0.897,0.897,1.0,0.945704,0.402783,0.563107,9.623203685930869e-05,176.2,True
2,0.773916,0.874722,0.897,0.897,1.0,0.945704,0.424376,0.525084,8.55017856687341e-05,177.06,True
3,0.718645,1.103763,0.897,0.897,1.0,0.945704,0.487515,0.488,6.944282990207195e-05,166.51,True
4,0.675395,0.685842,0.897,0.897,1.0,0.945704,0.568004,0.436893,5.05e-05,173.19,True
5,0.635819,0.757831,0.897,0.897,1.0,0.945704,0.574612,0.427184,3.1557170097928055e-05,176.26,True
6,0.592144,0.559963,0.897,0.897,1.0,0.945704,0.601428,0.435897,1.54982143312659e-05,177.8,False
7,0.595093,0.563644,0.897,0.897,1.0,0.945704,0.602505,0.427184,4.767963140691306e-06,174.94,True
8,0.565424,0.633738,0.897,0.897,1.0,0.945704,0.60041,0.427184,1e-06,174.75,True
