epoch,train_loss,dev_loss,dev_accuracy,dev_precision,dev_recall,dev_f1,dev_roc_auc,dev_eer,learning_rate,epoch_time_seconds,best_checkpoint_saved
1,0.823853,0.630909,0.622,0.95288,0.608696,0.742857,0.71547,0.330097,9.623203685930869e-05,169.21,True
2,0.725312,0.746239,0.508,0.974239,0.463768,0.628399,0.763624,0.273133,8.55017856687341e-05,171.98,True
3,0.652569,0.464583,0.814,0.939431,0.847269,0.890973,0.797459,0.265329,6.944282990207195e-05,167.59,True
4,0.6004,0.459066,0.825,0.961637,0.83835,0.895771,0.85478,0.23301,5.05e-05,156.09,True
5,0.507237,0.423967,0.851,0.969849,0.860647,0.911991,0.904937,0.19398,3.1557170097928055e-05,147.85,True
6,0.445901,0.364799,0.91,0.97193,0.926421,0.94863,0.941899,0.147157,1.54982143312659e-05,145.65,True
7,0.41173,0.351376,0.917,0.974359,0.931996,0.952707,0.954346,0.123746,4.767963140691306e-06,149.22,True
8,0.385455,0.346291,0.923,0.974537,0.938685,0.956275,0.957691,0.112598,1e-06,145.91,True
