timestamp,virtual_user,endpoint,method,status_code,response_time_ms,success
2026-08-06T10:46:52.011603582Z,30,GET /api/v1/user/profile,GET,200,4.003,True
2026-08-06T10:46:52.068474852Z,10,POST /api/v1/auth/login,POST,200,233.586,True
2026-08-06T10:46:52.075957174Z,20,GET /api/v1/scans,GET,200,10.635,True
2026-08-06T10:46:52.077454603Z,10,GET /api/v1/scans,GET,200,8.792,True
2026-08-06T10:46:52.095541135Z,29,POST /api/v1/scans,POST,201,30.175,True
2026-08-06T10:46:52.13772078Z,28,POST /api/v1/scans,POST,201,30.703,True
2026-08-06T10:46:52.170036064Z,8,GET /api/v1/scans,GET,200,5.813,True
2026-08-06T10:46:52.179588136Z,40,POST /api/v1/auth/login,POST,200,245.05,True
2026-08-06T10:46:52.183057265Z,40,GET /api/v1/user/profile,GET,200,3.231,True
2026-08-06T10:46:52.206118161Z,34,GET /api/v1/scans,GET,200,11.713,True
2026-08-06T10:46:52.213579718Z,9,POST /api/v1/scans,POST,201,27.262,True
2026-08-06T10:46:52.264588539Z,43,POST /api/v1/auth/login,POST,200,229.839,True
2026-08-06T10:46:52.268173665Z,43,GET /api/v1/scans,GET,200,3.34,True
2026-08-06T10:46:52.348245904Z,31,GET /api/v1/scans,GET,200,4.021,True
2026-08-06T10:46:52.371531255Z,41,POST /api/v1/auth/login,POST,200,236.714,True
2026-08-06T10:46:52.377078697Z,41,GET /api/v1/scans,GET,200,5.274,True
2026-08-06T10:46:52.38448928Z,24,POST /api/v1/scans,POST,201,25.599,True
2026-08-06T10:46:52.477661549Z,35,POST /api/v1/auth/login,POST,200,242.964,True
2026-08-06T10:46:52.4820591Z,35,GET /api/v1/scans,GET,200,4.113,True
2026-08-06T10:46:52.565274153Z,12,GET /api/v1/scans,GET,200,21.658,True
2026-08-06T10:46:52.62685776Z,21,GET /api/v1/scans/{id},GET,200,58.24,True
2026-08-06T10:46:52.63208908Z,37,GET /api/v1/scans,GET,200,39.975,True
2026-08-06T10:46:52.653471076Z,2,POST /api/v1/scans,POST,201,115.15,True
2026-08-06T10:46:52.657650708Z,15,GET /api/v1/scans,GET,200,25.5,True
2026-08-06T10:46:52.692847992Z,42,POST /api/v1/auth/login,POST,200,358.016,True
2026-08-06T10:46:52.701243901Z,17,POST /api/v1/scans,POST,201,165.081,True
2026-08-06T10:46:52.706264633Z,20,GET /api/v1/user/profile,GET,200,23.863,True
