epoch,train_loss,dev_loss,dev_accuracy,dev_precision,dev_recall,dev_f1,dev_roc_auc,dev_eer,learning_rate,epoch_time_seconds,best_checkpoint_saved
1,0.827344,0.668573,0.522,0.956427,0.489409,0.647493,0.715232,0.339806,9.623203685930869e-05,62.11,True
2,0.715444,0.717102,0.561,0.977083,0.522854,0.681191,0.768148,0.263099,8.55017856687341e-05,62.39,True
3,0.628214,0.376129,0.835,0.944175,0.867336,0.904126,0.810274,0.26087,6.944282990207195e-05,64.68,True
4,0.547417,0.370466,0.836,0.964512,0.848384,0.902728,0.884155,0.213592,5.05e-05,62.51,True
5,0.418878,0.3124,0.859,0.976071,0.863991,0.916617,0.938068,0.15534,3.1557170097928055e-05,62.13,True
6,0.332426,0.234062,0.908,0.978597,0.917503,0.947066,0.960169,0.109253,1.54982143312659e-05,62.89,True
7,0.285984,0.19885,0.927,0.980186,0.93757,0.958405,0.969402,0.091416,4.767963140691306e-06,61.94,True
8,0.250254,0.199319,0.93,0.982497,0.938685,0.960091,0.97161,0.086957,1e-06,62.34,True
