fpr,tpr,threshold
0.0,0.0,inf
0.0,0.02,0.994169
0.0,0.42,0.268841
0.02,0.42,0.239506
0.02,0.5,0.103116
0.04,0.5,0.050455
0.04,0.7,0.003894
0.08,0.7,0.002186
0.08,0.74,0.001615
0.12,0.74,0.0009
0.12,0.84,0.000111
0.2,0.84,2.1e-05
0.2,0.86,2e-05
0.22,0.86,1.1e-05
0.22,0.88,6e-06
0.26,0.88,4e-06
0.28,0.92,3e-06
0.3,0.92,2e-06
0.4,0.94,1e-06
1.0,1.0,0.0
