epoch,train_loss,dev_loss,dev_accuracy,dev_precision,dev_recall,dev_f1,dev_roc_auc,dev_eer,learning_rate,epoch_time_seconds,best_checkpoint_saved
1,0.972058,0.533158,0.725,0.913564,0.765886,0.833232,0.647422,0.380156,9.623203685930869e-05,66.96,True
2,0.952729,0.808256,0.393,0.980132,0.329989,0.493745,0.725071,0.358974,8.55017856687341e-05,65.64,True
3,0.877804,0.362204,0.884,0.898063,0.982163,0.938232,0.749326,0.320388,6.944282990207195e-05,64.51,True
4,0.766163,0.375528,0.847,0.906114,0.925307,0.915609,0.7545,0.297659,5.05e-05,65.62,True
5,0.671997,0.685055,0.588,0.97456,0.555184,0.707386,0.77816,0.276477,3.1557170097928055e-05,65.67,True
6,0.647694,0.534824,0.721,0.961194,0.717949,0.821953,0.788767,0.271845,1.54982143312659e-05,64.15,True
7,0.600059,0.466773,0.767,0.948649,0.782609,0.857666,0.796604,0.271845,4.767963140691306e-06,63.85,False
8,0.579158,0.440944,0.785,0.94517,0.807135,0.870716,0.799266,0.271845,1e-06,63.95,True
