epoch,train_loss,dev_loss,dev_accuracy,dev_precision,dev_recall,dev_f1,dev_roc_auc,dev_eer,learning_rate,epoch_time_seconds,best_checkpoint_saved
1,0.857707,1.373105,0.897,0.897,1.0,0.945704,0.419581,0.542813,9.623203685930869e-05,224.53,True
2,0.74432,2.049935,0.897,0.897,1.0,0.945704,0.431931,0.537287,8.55017856687341e-05,194.46,True
3,0.692475,1.818887,0.897,0.897,1.0,0.945704,0.446348,0.529312,6.944282990207195e-05,184.57,True
4,0.650373,1.19291,0.897,0.897,1.0,0.945704,0.513778,0.48,5.05e-05,186.26,True
5,0.592697,1.441998,0.897,0.897,1.0,0.945704,0.514044,0.478308,3.1557170097928055e-05,181.83,True
6,0.565666,1.405619,0.897,0.897,1.0,0.945704,0.533353,0.473529,1.54982143312659e-05,178.03,True
7,0.562794,1.427245,0.897,0.897,1.0,0.945704,0.536898,0.478325,4.767963140691306e-06,179.45,False
8,0.526063,1.456079,0.897,0.897,1.0,0.945704,0.540956,0.476118,1e-06,181.22,False
