epoch,train_loss,dev_loss,dev_accuracy,dev_precision,dev_recall,dev_f1,dev_roc_auc,dev_eer,learning_rate,epoch_time_seconds,best_checkpoint_saved
1,0.423779,0.31078,0.897,0.897,1.0,0.945704,0.665205,0.38835,9.623203685930869e-05,111.22,True
2,0.412032,0.316656,0.897,0.897,1.0,0.945704,0.725969,0.343367,8.55017856687341e-05,116.03,True
3,0.369295,0.318821,0.897,0.897,1.0,0.945704,0.76423,0.283166,6.944282990207195e-05,87.97,True
4,0.349318,0.305102,0.897,0.897,1.0,0.945704,0.779719,0.269788,5.05e-05,65.92,True
5,0.313951,0.27635,0.897,0.897,1.0,0.945704,0.803444,0.252427,3.1557170097928055e-05,65.57,True
6,0.303192,0.272865,0.897,0.897,1.0,0.945704,0.818099,0.243032,1.54982143312659e-05,66.53,True
7,0.285933,0.268716,0.897,0.897,1.0,0.945704,0.833079,0.236343,4.767963140691306e-06,64.79,True
8,0.28099,0.272305,0.897,0.897,1.0,0.945704,0.836175,0.23301,1e-06,65.81,True
