epoch,train_loss,dev_loss,dev_accuracy,dev_precision,dev_recall,dev_f1,dev_roc_auc,dev_eer,learning_rate,epoch_time_seconds,best_checkpoint_saved
1,0.824655,0.661178,0.543,0.964135,0.509476,0.666667,0.720828,0.330097,9.623203685930869e-05,170.41,True
2,0.717986,0.738858,0.528,0.977528,0.48495,0.648286,0.772391,0.262136,8.55017856687341e-05,170.15,True
3,0.635943,0.436719,0.815,0.947236,0.84058,0.890727,0.801323,0.262136,6.944282990207195e-05,171.19,False
4,0.573467,0.426056,0.822,0.965071,0.831661,0.893413,0.872628,0.214047,5.05e-05,171.81,True
5,0.464089,0.380828,0.85,0.975796,0.853958,0.91082,0.927125,0.172798,3.1557170097928055e-05,170.65,True
6,0.396027,0.301274,0.916,0.974329,0.930881,0.952109,0.952149,0.125975,1.54982143312659e-05,170.73,True
7,0.355695,0.289712,0.924,0.978996,0.93534,0.95667,0.962139,0.107023,4.767963140691306e-06,170.9,True
8,0.325138,0.280073,0.927,0.97907,0.938685,0.958452,0.964044,0.106796,1e-06,171.32,True
